1.	amu	Damu	amu	Damu
1.0715193052376064	5.197713483880262e-11	2.3237964485539172e-10	5.107564890170165e-11	2.3237964485539172e-10
1.1481536214968828	5.341457228319249e-11	2.3184665159192103e-10	5.242393273604279e-11	2.3184665159192103e-10
1.2302687708123816	5.573932147080507e-11	2.315076121136735e-10	5.4634467943969225e-11	2.315076121136735e-10
1.318256738556407	5.864225989403288e-11	2.312661459717828e-10	5.740024888133146e-11	2.312661459717828e-10
1.4125375446227544	6.201566037621673e-11	2.310850816556657e-10	6.06124672076772e-11	2.310850816556657e-10
1.5135612484362082	6.581316903530866e-11	2.3094503316466174e-10	6.422248877653857e-11	2.3094503316466174e-10
1.62181009735893	7.001597825517405e-11	2.308343661485723e-10	6.820844649873199e-11	2.308343661485723e-10
1.7378008287493754	7.462045185746457e-11	2.3074550660524868e-10	7.25629715621682e-11	2.3074550660524868e-10
1.8620871366628675	7.963252909606619e-11	2.30673253281388e-10	7.728760179438518e-11	2.30673253281388e-10
1.9952623149688795	8.506485766298436e-11	2.3061389563786275e-10	8.238987345320235e-11	2.3061389563786275e-10
2.137962089502232	9.093520961777978e-11	2.3056470924740029e-10	8.788166903358693e-11	2.3056470924740029e-10
2.290867652767773	9.726556979029478e-11	2.3052364774659263e-10	9.37782175137952e-11	2.3052364774659263e-10
2.4547089156850306	1.0408160691238515e-10	2.304891453398312e-10	1.0009745966174102e-10	2.304891453398312e-10
2.6302679918953817	1.1141237750617393e-10	2.3045998524553038e-10	1.0685962878984092e-10	2.3045998524553038e-10
2.8183829312644537	1.1929017968028553e-10	2.304352093310733e-10	1.1408696344091168e-10	2.304352093310733e-10
3.019951720402016	1.277505086873319e-10	2.304140544511659e-10	1.2180350258435906e-10	2.304140544511659e-10
3.2359365692962827	1.3683208516983188e-10	2.303959066397123e-10	1.300349325660206e-10	2.303959066397123e-10
3.4673685045253166	1.4657693804982892e-10	2.303802675458593e-10	1.388084657681786e-10	2.303802675458593e-10
3.715352290971725	1.570305306437547e-10	2.3036672945745721e-10	1.481527372995771e-10	2.3036672945745721e-10
3.9810717055349722	1.6824192277195637e-10	2.3035495645565728e-10	1.580977099853932e-10	2.3035495645565728e-10
4.265795188015927	1.8026396430695253e-10	2.3034467002478067e-10	1.6867458038302495e-10	2.3034467002478067e-10
4.570881896148751	1.9315351743540984e-10	2.3033563794284862e-10	1.799156801736455e-10	2.3033563794284862e-10
