800.	-1.438855902650007e-11	1.701926788319536e-10	4.7958936172177e-12	2.375461472838757e-10
812.3109740919158	3.029790875035249e-11	1.7490982321593118e-10	5.935543848956116e-11	2.373307521424507e-10
824.8113982876965	7.34869900121509e-11	1.7973048189663005e-10	1.1260426351758497e-10	2.3712080736896036e-10
837.5041879814925	1.1521086361228087e-10	1.8465508516864314e-10	1.645880388570401e-10	2.3691620043301625e-10
850.3923034316315	1.555010384211024e-10	1.896839926878122e-10	2.1535213496491158e-10	2.367168205414995e-10
863.4787504510209	1.943883735590943e-10	1.9481749030247326e-10	2.649418263681464e-10	2.3652255803972935e-10
876.7665811081738	2.3190308272310915e-10	2.000557829271461e-10	3.134022181768e-10	2.3633330486092937e-10
890.2588944390244	2.6807473545443476e-10	2.0539899102425095e-10	3.6077829984422364e-10	2.361489545025682e-10
903.9588371696949	3.029322657248352e-10	2.1084714194164028e-10	4.0711500402015547e-10	2.359694020244962e-10
917.8696044503882	3.3650398863265547e-10	2.1640016466722592e-10	4.524573076535824e-10	2.3579454384027324e-10
931.9944406005703	3.688176084676286e-10	2.2205788339157381e-10	4.968502791020176e-10	2.3562427781446195e-10
946.3366398656244	3.9990022357361327e-10	2.2782001172246434e-10	5.403390949899214e-10	2.354585034171941e-10
960.899547185145	4.2977833496707947e-10	2.3368614612504234e-10	5.829691131804717e-10	2.3529712171718905e-10
975.6865589730575	4.58477862746739e-10	2.396557584621053e-10	6.247860377179316e-10	2.35140035075407e-10
990.7011239097424	4.8602415338323e-10	2.457281890343126e-10	6.658359215835142e-10	2.34987147425555e-10
1005.9467437463484	5.124419871989287e-10	2.5190264118696536e-10	7.061652810461768e-10	2.3483836419724427e-10
1021.4269741214839	5.377556010288894e-10	2.58178175113739e-10	7.45821203900702e-10	2.346935922828033e-10
1037.1454253904758	5.61988685565436e-10	2.645536994470121e-10	7.848514529906739e-10	2.3455274005980944e-10
1053.10576346739	5.851644033875067e-10	2.710279642631491e-10	8.233045776020953e-10	2.3441571741508785e-10
1069.311710680008	6.073054044657899e-10	2.77599557762288e-10	8.612300749530596e-10	2.3428243565109597e-10
1085.7670466379627	6.284338290514854e-10	2.842668950061536e-10	8.986784713736175e-10	2.341528076938914e-10
1102.4756091142326	6.485713335858832e-10	2.9102821729542133e-10	9.35701591861042e-10	2.340267477543951e-10
1119.4412949402008	6.677390894530832e-10	2.978815790831981e-10	9.723526538391364e-10	2.3390417161920466e-10
1136.6680609144878	6.85921195691276e-10	3.048091208910131e-10	1.0086843995324407e-9	2.337850038671302e-10
1154.159924725771	7.03210216062965e-10	3.118395721625065e-10	1.0447582534583742e-9	2.3366914787547414e-10
1171.9209658898042	7.195902543771116e-10	3.189551010655352e-10	1.0806391247473344e-9	2.3355650522535937e-10
1189.955326700857	7.350808863952553e-10	3.2615287689169676e-10	1.1163628408410914e-9	2.3344707658012637e-10
1208.2672131977965	7.497009090367444e-10	3.334300484947698e-10	1.1520176912675165e-9	2.3334070574795696e-10
1226.8608961450334	7.634689680136552e-10	3.407834207099815e-10	1.1876618862703152e-9	2.332373434458462e-10
1245.7407120285661	7.764032646882097e-10	3.4820961093335266e-10	1.223365278606592e-9	2.331369154349919e-10
1264.9110640673518	7.885216319567989e-10	3.5570501251356387e-10	1.2592015142395832e-9	2.3303934885694445e-10
1284.3764232402405	7.998415466452169e-10	3.6326578892226203e-10	1.2952485074770708e-9	2.329445722442705e-10
1304.1413293287133	8.103801503412215e-10	3.7088787540317403e-10	1.3315890048918465e-9	2.3285251547815497e-10
1324.2103919756664	8.201542503632e-10	3.785669715159404e-10	1.3683111892216002e-9	2.3276310984623375e-10
1344.5882917604888	8.291803565980763e-10	3.86298544724007e-10	1.4055094644081066e-9	2.3267628787438117e-10
1365.2797812906852	8.374746699571578e-10	3.94077822550077e-10	1.4432852046003642e-9	2.3259198352900042e-10
1386.2896863102928	8.450531163587327e-10	4.018997975104234e-10	1.4817477749201439e-9	2.3251013206612847e-10
1407.622906825363	8.519313561906507e-10	4.097592257588499e-10	1.521015549719752e-9	2.324306700051021e-10
1429.2844182467559	8.581247865422173e-10	4.1765062290028255e-10	1.5612172215942444e-9	2.3235353520232968e-10
1451.2792725505246	8.636485561523836e-10	4.255682606030825e-10	1.6024933469610813e-9	2.3227866673160004e-10
1473.6125994561546	8.685176296658667e-10	4.3349104658168423e-10	1.6449979858938365e-9	2.322060049873135e-10
1496.2896076229367	8.727467277545952e-10	4.413597114300938e-10	1.6889008350347674e-9	2.3213549155575494e-10
1519.3155858647478	8.763503940765302e-10	4.4923136908120346e-10	1.7343895972854171e-9	2.3206706929007243e-10
1542.6959043835288	8.793429723703968e-10	4.570992293755236e-10	1.7816729289688771e-9	2.3200068215918728e-10
1566.4360160217416	8.817386450749771e-10	4.6495626465737323e-10	1.8309837830792988e-9	2.3193627540784293e-10
1590.5414575341015	8.83551432787126e-10	4.727952029516158e-10	1.8825836462167177e-9	2.3187379538882842e-10
1615.017850878877	8.847952143614183e-10	4.806085333249601e-10	1.9367674020255086e-9	2.3181318970672884e-10
1639.8709045290661	8.85483734525158e-10	4.883885059146899e-10	1.9938698506744014e-9	2.317544069183829e-10
1665.1064148037462	8.856306109346722e-10	4.961271272071716e-10	2.054273085517116e-9	2.3169739682449482e-10
1690.7302672199112	8.852493608821842e-10	5.038161709937981e-10	2.118416600118013e-9	2.3164211020366423e-10
1716.7484378651143	8.843538436160107e-10	5.114475486168428e-10	2.186810679659396e-9	2.3158849897567719e-10
